ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_id_changed
1779848582.9104426,34,326,1.2084,6283
1779848583.4548473,36,328,1.2187,6852
1779848584.0002341,34,328,1.2438,6283
1779848584.5408573,36,327,1.2250,6852
1779848585.0832586,34,330,1.2328,6283
1779848585.6207051,36,330,1.2454,6852
1779848586.16553,34,327,1.2206,6283
1779848586.6938665,36,330,1.2229,6852
1779848587.2260213,34,341,1.3001,6283
1779848587.7593462,36,325,1.2112,6852
1779848588.3040912,34,332,1.2269,6283
1779848588.841306,36,328,1.2409,6852
1779848589.3825648,34,327,1.2238,6283
1779848589.9201987,36,325,1.2034,6852
1779848590.4574745,34,332,1.2488,6283
1779848591.0021799,36,331,1.2575,6852
1779848591.547055,34,326,1.2147,6283
1779848592.092596,36,331,1.2580,6852
1779848592.628158,34,326,1.2010,6283
1779848593.1626632,36,327,1.2204,6852
1779848593.7018514,34,371,1.2521,6283
1779848594.2459095,36,330,1.2233,6852
1779848594.787061,34,325,1.2107,6283
1779848595.3295438,36,333,1.2566,6852
1779848595.871277,34,326,1.2201,6283
1779848596.4065454,36,328,1.2190,6852
1779848596.9499447,34,324,1.2096,6283
1779848597.4866908,36,331,1.2446,6852
1779848598.0244532,34,325,1.2059,6283
1779848598.5253873,36,347,1.3063,6852
1779848599.0541918,36,344,1.3160,6852
1779848599.58217,34,327,1.2147,6283
1779848600.1143064,36,331,1.2483,6852
1779848600.637609,34,326,1.2090,6283
1779848601.1678743,36,332,1.2339,6852
1779848601.7095723,34,338,1.3012,6283
1779848602.2519295,36,328,1.2176,6852
1779848602.79371,34,325,1.2043,6283
1779848603.3382723,36,330,1.2491,6852
1779848603.8671706,34,329,1.2280,6283
1779848604.402028,36,389,1.3208,6852
1779848604.931562,34,493,1.5762,6283
1779848605.4688723,36,329,1.2158,6852
1779848606.0091527,34,328,1.2106,6283
1779848606.5488844,36,331,1.2532,6852
1779848607.0778887,34,330,1.2391,6283
1779848607.6130695,36,326,1.2128,6852
1779848608.1435742,34,332,1.2490,6283
1779848608.682828,36,324,1.2111,6852
1779848609.219311,34,328,1.2158,6283
1779848609.761435,36,332,1.2548,6852
1779848610.3058183,34,328,1.2147,6283
1779848610.8323956,36,324,1.2152,6852
1779848611.3776596,34,326,1.2143,6283
1779848611.921662,36,332,1.2789,6852
1779848612.4650688,34,327,1.2125,6283
1779848613.0102,36,329,1.2276,6852
1779848613.555766,34,331,1.2660,6283
1779848614.1008227,36,330,1.2273,6852
1779848614.6437435,34,325,1.1931,6283
1779848615.1888258,36,329,1.2448,6852
1779848615.7356691,34,327,1.2474,6283
1779848616.2783573,36,328,1.2048,6852
1779848616.8166463,34,330,1.2531,6283
1779848617.3621578,36,327,1.2027,6852
1779848617.8908117,34,329,1.2189,6283
1779848618.433426,36,382,1.2999,6852
1779848618.974036,34,324,1.2093,6283
1779848619.511258,36,326,1.2164,6852
1779848620.053953,34,329,1.2352,6283
1779848620.5899148,36,324,1.2168,6852
1779848621.1269891,34,326,1.2101,6283
1779848621.6698909,36,328,1.2438,6852
1779848622.2105043,35,330,1.2251,6852
1779848622.7390554,35,327,1.2239,6283
1779848623.259088,35,327,1.2080,6852
1779848623.796452,35,328,1.2342,6283
1779848624.323619,36,330,1.1874,6852
1779848624.8587182,34,326,1.2128,6283
1779848625.3946388,36,332,1.2698,6852
1779848625.931684,34,325,1.1946,6283
1779848626.469345,36,342,1.3211,6852
1779848627.011525,34,331,1.2316,6283
1779848627.5573595,36,329,1.2137,6852
1779848628.096936,34,326,1.2143,6283
1779848628.6383188,36,328,1.2415,6852
1779848629.1816301,34,333,1.2624,6283
1779848629.7254534,36,324,1.2111,6852
1779848630.262048,34,330,1.2452,6283
1779848630.7877245,36,328,1.2171,6852
1779848631.3287885,34,342,1.2557,6283
1779848631.8699138,36,543,1.5890,6852
1779848632.4063504,34,330,1.2145,6283
1779848632.942918,36,325,1.2055,6852
1779848633.4851708,34,326,1.2143,6283
1779848634.0240996,36,329,1.2463,6852
1779848634.561583,34,330,1.2347,6283
1779848635.1032941,36,336,1.2260,6852
1779848635.646881,72,681,2.1220,6852
1779848636.1845047,37,348,1.2782,6852
1779848636.7207322,34,325,1.2501,6283
1779848637.2589588,36,331,1.2853,6852
1779848637.7954729,34,331,1.2640,6283
1779848638.330265,36,326,1.2335,6852
1779848638.8735797,34,330,1.3204,6283
1779848639.4114945,36,326,1.2557,6852
1779848639.9420679,34,330,1.2695,6283
1779848640.4680915,36,329,1.2853,6852
1779848640.9918587,34,328,1.2646,6283
1779848641.5334578,36,328,1.2503,6852
1779848642.0668843,34,329,1.2806,6283
1779848642.6073701,36,329,1.2909,6852
