ts,n_active,page_id_mean,page_id_std,page_id_max,region_low,region_midlow,region_midhigh,region_high,change_volume_sum,change_volume_mean,change_volume_max,entropy_changed_mean,entropy_changed_max,entropy_full_mean,entropy_full_std,warmup_start_ts,controller_attached_ts,test_phase_start_ts,action_ts,max_page,action2_ts
1784158547.841003,5,12.8,6.615134163416491,19.0,1,2,2,0,22.0,4.4,10.0,1.8457637380991758,3.321928094887362,3.66050544202092,0.9325192164207468,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158547.8475914,5,12.8,6.615134163416491,19.0,1,2,2,0,22.0,4.4,10.0,1.8457637380991758,3.321928094887362,3.66050544202092,0.9325192164207468,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158547.8511806,5,12.8,6.615134163416491,19.0,1,2,2,0,22.0,4.4,10.0,1.8457637380991758,3.321928094887362,3.66050544202092,0.9325192164207468,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158547.8546083,5,12.8,6.615134163416491,19.0,1,2,2,0,22.0,4.4,10.0,1.8457637380991758,3.321928094887362,3.66050544202092,0.9325192164207468,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158547.8740604,32,16.375,9.426525075551435,32.0,7,8,8,9,48204.0,1506.375,3753.0,5.605415201846751,6.398009953691976,2.948105391121467,0.9749037780568476,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158548.8831477,6,12.166666666666666,6.202598021976132,19.0,1,3,2,0,51.0,8.5,27.0,2.0965583095719817,3.584962500721156,3.563340546880971,0.8682615996765972,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158548.8895557,6,12.166666666666666,6.202598021976132,19.0,1,3,2,0,51.0,8.5,27.0,2.0965583095719817,3.584962500721156,3.563340546880971,0.8682615996765972,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158548.8934786,6,12.166666666666666,6.202598021976132,19.0,1,3,2,0,51.0,8.5,27.0,2.0965583095719817,3.584962500721156,3.563340546880971,0.8682615996765972,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158548.8974414,6,12.166666666666666,6.202598021976132,19.0,1,3,2,0,51.0,8.5,27.0,2.0965583095719817,3.584962500721156,3.563340546880971,0.8682615996765972,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158548.9176674,32,16.375,9.426525075551435,32.0,7,8,8,9,48197.0,1506.15625,3753.0,5.605614455436398,6.396940273586886,2.947877025998081,0.9750004860338497,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158549.9262388,6,12.166666666666666,6.202598021976132,19.0,1,3,2,0,38.0,6.333333333333333,16.0,2.183969781749313,3.875,3.5656588797722413,0.8668740729410385,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158549.9332376,6,12.166666666666666,6.202598021976132,19.0,1,3,2,0,38.0,6.333333333333333,16.0,2.183969781749313,3.875,3.5656588797722413,0.8668740729410385,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158549.937044,6,12.166666666666666,6.202598021976132,19.0,1,3,2,0,38.0,6.333333333333333,16.0,2.183969781749313,3.875,3.5656588797722413,0.8668740729410385,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158549.9409802,6,12.166666666666666,6.202598021976132,19.0,1,3,2,0,38.0,6.333333333333333,16.0,2.183969781749313,3.875,3.5656588797722413,0.8668740729410385,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158549.9619648,32,16.375,9.426525075551435,32.0,7,8,8,9,48199.0,1506.21875,3753.0,5.606497647413661,6.401522878124716,2.948311713415194,0.9750850258784758,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158550.97144,5,12.8,6.615134163416491,19.0,1,2,2,0,29.0,5.8,8.0,2.3313781191217036,3.0,3.659305469855846,0.9328473062195837,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158550.9777775,5,12.8,6.615134163416491,19.0,1,2,2,0,29.0,5.8,8.0,2.3313781191217036,3.0,3.659305469855846,0.9328473062195837,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158551.00763,32,16.375,9.426525075551435,32.0,7,8,8,9,48196.0,1506.125,3752.0,5.605012993276405,6.39658392505374,2.9475960068606235,0.974757977857237,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158552.0499566,32,16.375,9.426525075551435,32.0,7,8,8,9,48197.0,1506.15625,3753.0,5.605267115228653,6.401188628355392,2.947722083924817,0.9748952065962052,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158553.0920012,32,16.375,9.426525075551435,32.0,7,8,8,9,48190.0,1505.9375,3753.0,5.6048478017047305,6.394039677817244,2.9472624619760643,0.9749640276765995,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158554.135631,32,16.375,9.426525075551435,32.0,7,8,8,9,48197.0,1506.15625,3753.0,5.605284427883123,6.399297239963247,2.9477594828643623,0.9750020561337699,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158555.144374,4,10.0,6.363961030678928,16.0,1,2,1,0,33.0,8.25,22.0,2.3348510866086256,3.7544418457133455,3.585140246783591,1.1034568889768517,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158555.1511862,4,10.0,6.363961030678928,16.0,1,2,1,0,33.0,8.25,22.0,2.3348510866086256,3.7544418457133455,3.585140246783591,1.1034568889768517,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158555.1551208,4,10.0,6.363961030678928,16.0,1,2,1,0,33.0,8.25,22.0,2.3348510866086256,3.7544418457133455,3.585140246783591,1.1034568889768517,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
1784158555.158746,4,10.0,6.363961030678928,16.0,1,2,1,0,33.0,8.25,22.0,2.3348510866086256,3.7544418457133455,3.585140246783591,1.1034568889768517,1784157748,1784158048,1784158168,1784158457.2128928,32,1784158485.4831479
