ts,n_active,page_id_mean,page_id_std,page_id_max,region_low,region_midlow,region_midhigh,region_high,change_volume_sum,change_volume_mean,change_volume_max,entropy_changed_mean,entropy_changed_max,entropy_full_mean,entropy_full_std,warmup_start_ts,controller_attached_ts,test_phase_start_ts,action_ts,max_page,action2_ts
1784179087.6866386,4,11.25,6.53356717268599,16.0,1,2,1,0,26.0,6.5,12.0,2.357132807987959,3.584962500721156,3.649617498360752,1.0720773155954104,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784179087.706784,32,16.375,9.426525075551435,32.0,7,8,8,9,48446.0,1513.9375,3763.0,5.577174776300845,6.380951116813841,2.9442866485726404,0.9915097975278941,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784179088.7157974,3,10.333333333333334,7.318166133366716,16.0,1,1,1,0,14.0,4.666666666666667,5.0,2.214618729924908,2.321928094887362,3.766608597881538,1.2824607465332236,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784179088.7226584,3,10.333333333333334,7.318166133366716,16.0,1,1,1,0,14.0,4.666666666666667,5.0,2.214618729924908,2.321928094887362,3.766608597881538,1.2824607465332236,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784179088.7263632,3,10.333333333333334,7.318166133366716,16.0,1,1,1,0,14.0,4.666666666666667,5.0,2.214618729924908,2.321928094887362,3.766608597881538,1.2824607465332236,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784179088.7301984,3,10.333333333333334,7.318166133366716,16.0,1,1,1,0,14.0,4.666666666666667,5.0,2.214618729924908,2.321928094887362,3.766608597881538,1.2824607465332236,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784179088.7500489,32,16.375,9.426525075551435,32.0,7,8,8,9,48439.0,1513.71875,3763.0,5.577090227237287,6.377755700467299,2.9439098141259334,0.9914642405586335,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784179089.7593896,3,10.333333333333334,7.318166133366716,16.0,1,1,1,0,17.0,5.666666666666667,8.0,2.307309364962454,3.0,3.7684568280179143,1.279744447414824,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784179089.7660885,3,10.333333333333334,7.318166133366716,16.0,1,1,1,0,17.0,5.666666666666667,8.0,2.307309364962454,3.0,3.7684568280179143,1.279744447414824,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
1784179089.7701416,3,10.333333333333334,7.318166133366716,16.0,1,1,1,0,17.0,5.666666666666667,8.0,2.307309364962454,3.0,3.7684568280179143,1.279744447414824,1784178270,1784178570,1784178690,1784178985.0533419,32,1784179123.4103308
