ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_id_changed
1779849594.099953,34,325,1.2163,6250
1779849594.6421933,36,323,1.1851,6852
1779849595.185308,34,330,1.2452,6250
1779849595.7200396,36,325,1.2020,6852
1779849596.2552078,36,333,1.1965,6852
1779849596.7994266,34,328,1.2438,6250
1779849597.3405058,36,329,1.2495,6852
1779849597.8721406,34,330,1.2301,6250
1779849598.409944,36,331,1.2506,6852
1779849598.950849,34,326,1.2126,6250
1779849599.4937146,36,326,1.2090,6852
1779849600.0315921,34,326,1.2315,6250
1779849600.5715704,36,332,1.2817,6852
1779849601.116248,34,327,1.2122,6250
1779849601.658831,36,325,1.2127,6852
1779849602.1999812,34,334,1.2594,6250
1779849602.7338169,36,325,1.2082,6852
1779849603.2785738,34,357,1.2382,6250
1779849603.8185492,36,345,1.2470,6852
1779849604.3582485,34,324,1.1917,6250
1779849604.8869941,36,324,1.2009,6852
1779849605.4142962,34,332,1.2560,6250
1779849605.9310794,36,325,1.2067,6852
1779849606.4738853,34,330,1.2323,6250
1779849607.0124986,36,328,1.2409,6852
1779849607.5576096,34,327,1.2133,6250
1779849608.1017768,36,329,1.2197,6852
1779849608.6454659,34,329,1.2397,6250
1779849609.1827123,36,336,1.2151,6852
1779849609.7220492,34,326,1.2041,6250
1779849610.2637577,36,332,1.2788,6852
1779849610.80626,34,327,1.2202,6250
1779849611.3413792,36,342,1.3363,6852
1779849611.8820267,35,334,1.2503,6852
1779849612.4255319,35,327,1.2175,6250
1779849612.9643934,36,325,1.1617,6852
1779849613.4938984,34,332,1.2502,6250
1779849614.0358982,36,330,1.2549,6852
1779849614.573924,34,325,1.2107,6250
1779849615.1111264,36,332,1.2595,6852
1779849615.6492662,34,319,1.1984,6250
1779849616.1778908,36,332,1.2361,6852
1779849616.7228756,34,487,1.4392,6250
1779849617.2497354,36,394,1.3986,6852
1779849617.7839131,34,326,1.2087,6250
1779849618.3157883,36,328,1.2192,6852
1779849618.858623,34,329,1.2511,6250
1779849619.399132,36,330,1.2184,6852
1779849619.9357753,34,322,1.2077,6250
1779849620.4729536,36,328,1.2400,6852
1779849621.0017643,34,332,1.2426,6250
1779849621.5341997,36,324,1.2065,6852
1779849622.071604,34,328,1.2409,6250
1779849622.6071618,36,326,1.2127,6852
1779849623.1449943,36,357,1.3108,6852
1779849623.672536,34,334,1.2327,6250
1779849624.2015133,36,328,1.2084,6852
1779849624.7358747,34,329,1.2790,6250
1779849625.2753975,36,331,1.2290,6852
1779849625.814454,34,327,1.2124,6250
1779849626.3591492,36,332,1.2553,6852
1779849626.8982928,34,325,1.2112,6250
1779849627.4309618,36,349,1.2390,6852
1779849627.9741707,34,352,1.2538,6250
1779849628.51148,36,325,1.2088,6852
1779849629.0543993,34,327,1.2106,6250
1779849629.5977206,36,331,1.2539,6852
1779849630.1392043,34,326,1.2149,6250
1779849630.6763005,36,326,1.2075,6852
1779849631.2200794,35,335,1.2576,6852
1779849631.764097,35,324,1.2052,6250
1779849632.3000872,36,328,1.1793,6852
1779849632.8335836,34,329,1.2537,6250
1779849633.3714886,36,329,1.2238,6852
1779849633.9042516,34,328,1.2255,6250
1779849634.4399383,36,332,1.2839,6852
1779849634.9786727,34,325,1.2107,6250
1779849635.519586,36,344,1.3258,6852
1779849636.042772,34,329,1.2470,6250
1779849636.5685718,36,326,1.2178,6852
1779849637.1124485,34,328,1.2196,6250
1779849637.6565306,36,327,1.2397,6852
1779849638.1992924,34,331,1.2675,6250
1779849638.7431827,36,325,1.2091,6852
1779849639.2781072,34,329,1.2476,6250
1779849639.8174245,36,329,1.2458,6852
1779849640.3529038,34,340,1.2628,6250
1779849640.8969696,36,551,1.5077,6852
1779849641.4305782,34,329,1.2098,6250
1779849641.97064,36,324,1.2074,6852
1779849642.5135603,34,330,1.2222,6250
1779849643.0598729,36,333,1.2441,6852
1779849643.5868425,34,326,1.2123,6250
1779849644.1203034,36,332,1.2204,6852
1779849644.6602108,34,327,1.2378,6250
1779849645.199857,36,328,1.2160,6852
1779849645.732815,34,323,1.2021,6250
1779849646.277413,36,332,1.2464,6852
1779849646.819738,35,332,1.2313,6852
1779849647.360312,35,327,1.2203,6250
1779849647.8928745,36,337,1.2444,6852
1779849648.4353998,34,327,1.2156,6250
1779849648.9721174,36,327,1.2151,6852
1779849649.5131514,34,330,1.2468,6250
1779849650.045667,36,330,1.2279,6852
1779849650.5739176,34,325,1.2112,6250
1779849651.1112618,36,332,1.2488,6852
1779849651.6446629,34,327,1.2428,6250
1779849652.1635237,36,326,1.2164,6852
1779849652.6660826,36,394,1.2752,6852
1779849653.198322,34,326,1.2075,6250
1779849653.7307286,36,329,1.2497,6852
1779849654.2651887,34,326,1.2189,6250
1779849654.8007293,36,333,1.2275,6852
1779849655.3307166,34,329,1.2490,6250
1779849655.8587427,36,327,1.2094,6852
1779849656.3993583,34,327,1.2195,6250
1779849656.91705,36,331,1.2552,6852
1779849657.4312482,34,326,1.2220,6250
1779849657.9481494,36,328,1.2333,6852
1779849658.4664917,34,331,1.2834,6250
1779849658.9961474,36,326,1.2107,6852
1779849659.535242,34,341,1.3414,6250
1779849660.0725439,36,332,1.2520,6852
1779849660.6070845,34,325,1.2169,6250
1779849661.1458359,36,326,1.2093,6852
1779849661.6712177,34,331,1.2572,6250
1779849662.202639,36,321,1.2424,6852
1779849662.722721,34,325,1.2107,6250
1779849663.2542524,36,327,1.2151,6852
1779849663.786849,34,330,1.2474,6250
1779849664.3155813,36,331,1.2332,6852
1779849664.8319218,34,400,1.3470,6250
1779849665.3701062,36,475,1.5474,6852
1779849665.9028382,34,328,1.2098,6250
1779849666.4386501,36,328,1.2141,6852
1779849666.9646494,34,328,1.2476,6250
1779849667.498118,36,327,1.2180,6852
1779849668.0290327,34,325,1.2148,6250
1779849668.5657609,36,328,1.2409,6852
1779849669.094826,34,327,1.2136,6250
1779849669.6119745,36,324,1.2074,6852
1779849670.1336157,34,334,1.2551,6250
1779849670.6697104,36,327,1.2096,6852
