t_rel_s,signal,threshold
45.496636152267456,23.0,48078.0
45.50178909301758,23.0,48078.0
45.50684189796448,23.0,48078.0
45.53004288673401,48088.0,48078.0
46.5409893989563,26.0,48078.0
46.55050706863403,26.0,48078.0
46.55531668663025,26.0,48078.0
46.560194969177246,26.0,48078.0
46.58013987541199,48094.0,48078.0
47.58905792236328,29.0,48078.0
47.59641766548157,29.0,48078.0
47.601075649261475,29.0,48078.0
47.60527682304382,29.0,48078.0
47.624863386154175,48094.0,48078.0
48.63460683822632,22.0,48078.0
48.644684076309204,22.0,48078.0
48.64980721473694,22.0,48078.0
48.679972887039185,48101.0,48078.0
49.729207038879395,48113.0,48078.0
50.778565883636475,48106.0,48078.0
51.8287410736084,48113.0,48078.0
52.87926983833313,48105.0,48078.0
52.90547728538513,48113.0,48078.0
53.91367483139038,17.0,48078.0
53.92243695259094,17.0,48078.0
53.92698669433594,17.0,48078.0
53.93117117881775,17.0,48078.0
53.95235061645508,48106.0,48078.0
54.96245980262756,20.0,48078.0
54.97216176986694,20.0,48078.0
54.97711420059204,20.0,48078.0
54.981616497039795,20.0,48078.0
55.00412464141846,48110.0,48078.0
56.01317119598389,22.0,48078.0
56.02073693275452,22.0,48078.0
56.02472805976868,22.0,48078.0
56.028502225875854,22.0,48078.0
56.047019958496094,48110.0,48078.0
57.057753801345825,22.0,48078.0
57.065611839294434,22.0,48078.0
57.070136308670044,22.0,48078.0
57.07446241378784,22.0,48078.0
57.09530019760132,48103.0,48078.0
57.119797229766846,48103.0,48078.0
58.12778091430664,10.0,48078.0
58.137062549591064,10.0,48078.0
58.1415913105011,10.0,48078.0
58.145885944366455,10.0,48078.0
58.16702723503113,48103.0,48078.0
59.20877742767334,48110.0,48078.0
60.25260519981384,48100.0,48078.0
61.26367259025574,21.0,48078.0
61.27129530906677,21.0,48078.0
61.27491807937622,21.0,48078.0
61.27857732772827,21.0,48078.0
61.29675221443176,48105.0,48078.0
61.31852841377258,48095.0,48078.0
62.32630944252014,35.0,48078.0
62.335670471191406,35.0,48078.0
62.33979320526123,35.0,48078.0
62.34382152557373,35.0,48078.0
62.36448431015015,48112.0,48078.0
63.37347960472107,35.0,48078.0
63.380861043930054,35.0,48078.0
63.38465142250061,35.0,48078.0
