ts,n_changed_pages,change_vol_bytes,entropy_mean,max_page_id_changed
1779848155.866802,36,330,1.1901,6852
1779848156.397653,34,328,1.2128,6250
1779848156.9399815,36,326,1.2086,6852
1779848157.4775274,34,331,1.2501,6250
1779848158.0160103,36,327,1.2180,6852
1779848158.5495915,34,324,1.2074,6250
1779848159.0895374,36,331,1.2520,6852
1779848159.6329546,34,326,1.2154,6250
1779848160.1749125,36,329,1.2251,6852
1779848160.7134125,34,331,1.2468,6250
1779848161.2563214,36,330,1.2544,6852
1779848161.801498,34,336,1.2966,6250
1779848162.3453631,36,330,1.2515,6852
1779848162.8824713,34,325,1.2092,6250
1779848163.4260726,36,326,1.2155,6852
1779848163.9692206,34,327,1.2162,6250
1779848164.5052066,36,331,1.2286,6852
1779848165.0320802,34,326,1.2128,6250
1779848165.567346,36,331,1.2456,6852
1779848166.1120374,34,329,1.2236,6250
1779848166.656831,36,366,1.2737,6852
1779848167.1940908,34,519,1.5023,6250
1779848167.7232804,36,352,1.2950,6852
1779848168.2633839,36,336,1.2348,6852
1779848168.8073149,34,327,1.2311,6250
1779848169.343626,36,327,1.2180,6852
1779848169.8869474,34,328,1.2410,6250
1779848170.4305835,36,332,1.2258,6852
1779848170.9742823,34,325,1.2127,6250
1779848171.5141807,36,333,1.2855,6852
1779848172.0586786,34,326,1.2097,6250
1779848172.605075,36,329,1.1945,6852
1779848173.1433258,34,329,1.2431,6250
1779848173.6848414,36,324,1.2152,6852
1779848174.224518,34,327,1.2113,6250
1779848174.7662458,36,330,1.2408,6852
1779848175.3094974,34,331,1.2675,6250
1779848175.8528817,36,326,1.1929,6852
1779848176.3963842,35,336,1.2778,6852
1779848176.937325,35,325,1.2088,6250
1779848177.4801114,36,331,1.1833,6852
1779848178.0228312,34,375,1.2311,6250
1779848178.5646248,36,324,1.2061,6852
1779848179.1081915,34,334,1.2317,6250
1779848179.6517644,36,328,1.2395,6852
1779848180.190192,34,328,1.2233,6250
1779848180.7303734,36,325,1.2112,6852
1779848181.2740943,34,329,1.2419,6250
1779848181.8142557,36,324,1.2096,6852
1779848182.3519015,34,327,1.2122,6250
1779848182.8870196,36,324,1.2090,6852
1779848183.428741,34,333,1.2633,6250
1779848183.9705818,36,328,1.2146,6852
1779848184.5079677,34,334,1.2251,6250
1779848185.0528443,36,332,1.2732,6852
1779848185.5943723,34,330,1.2477,6250
1779848186.1344283,36,337,1.3030,6852
1779848186.670886,34,329,1.2442,6250
1779848187.2147171,36,327,1.2164,6852
1779848187.759334,34,328,1.2163,6250
1779848188.2991688,36,331,1.2520,6852
1779848188.8427324,35,330,1.2591,6852
